Series,S,Years,Season,Episode,Name,Date,Holiday,link,Description,Cover
Smallville,10,2001–2011,5,9,Lexmas,8-Dec-2005,Christmas,https://www.imdb.com/title/tt0702974/?ref_=ttep_ep9,"On Christmas Eve, Lex is shot by a couple during a car-jacking and has to undergo surgery to prevent permanent paralysis. While he's under, Lex dreams of an alternate future with Lana. Meanwhile, Clark helps Chloe deliver Christmas presents to underprivileged children.",
Smallville,10,2001–2011,7,9,Gemini,13-Dec-2007,Christmas,https://www.imdb.com/title/tt1032127/?ref_=ttep_ep9,"As Christmas approaches, Lois receives a call that Chloe is attached to a bomb unless she reports on Lex's experiments. Chloe reveals her healing powers to Jimmy while trapped in an elevator. Clark returns from the Fortress of Solitude and wants to take down Lex with Lana's help.",
House M.D.,8,2004–2012,1,5,Damned if You Do,14-Dec-2004,Christmas,https://www.imdb.com/title/tt0606018/?ref_=ttep_ep5,"House treats a nun for dermatitis and asthma but his diagnosis and treatment may have been wrong, leading to a life-threatening situation.",
House M.D.,8,2004–2012,3,10,Merry Little Christmas,12-Dec-2006,Christmas,https://www.imdb.com/title/tt0882414/?ref_=ttep_ep10,"Wilson proposes a deal to House with Cuddy's support, while the team struggles with a difficult case and keeps seeking House's opinion despite his unavailability.",
House M.D.,8,2004–2012,3,14,Insensitive,13-Feb-2007,St. Valentine's Day,https://www.imdb.com/title/tt0917153/?ref_=ttep_ep14,House interferes with relationships on Valentine's Day while trying to diagnose a teenage patient who cannot feel pain due to a genetic condition.,
House M.D.,8,2004–2012,4,10,It's a Wonderful Lie,29-Jan-2008,Christmas,https://www.imdb.com/title/tt1172357/?ref_=ttep_ep10,House becomes preoccupied with a mother and daughter who can't lie and uses Christmas to create tension among his team.,
House M.D.,8,2004–2012,5,11,Joy to the World,9-Dec-2008,Christmas,https://www.imdb.com/title/tt1273714/?ref_=ttep_ep11,"A teen collapses on stage, leading to a surprise for Cuddy. Wilson persuades House to be kinder to patients during the holidays. Foreman and Thirteen have trouble with a trial patient dropping out.",
House M.D.,8,2004–2012,6,9,Ignorance is Bliss,23-Nov-2009,Thanksgiving,https://www.imdb.com/title/tt1503414/?ref_=ttep_ep8,"A high IQ courier collapses at a bookstore, while House continues his antics to gain Cuddy's attention. The situation escalates when Chase punches House.",
Scrubs,9,2001–2010,1,9,My Day Off,20-Nov-2001,Thanksgiving,https://www.imdb.com/title/tt0696569/?ref_=ttep_ep9,"On Thanksgiving, J.D. gets diagnosed with appendicitis at Sacred Heart. Dr. Cox wants to impress his former mentor, Dr. Benson. Elliot attempts to be a more empathetic doctor. ",
Scrubs,9,2001–2010,1,11,My Own Personal Jesus,11-Dec-2001,Christmas,https://www.imdb.com/title/tt0696619/?ref_=ttep_ep11,"On Christmas, only Turk is in a festive mood. Cox asks J.D. to film a friend's baby's birth, but things don't go as planned. ",
Scrubs,9,2001–2010,4,12,My Best Moment,7-Dec-2004,Christmas,https://www.imdb.com/title/tt0696550/?ref_=ttep_ep12,J.D. speaks to a group of pre-med students but decides to talk about his best experiences as a doctor.,
Friends,10,1994–2004,1,9,The One Where Underdog Gets Away,17-Nov-1994,Thanksgiving,https://www.imdb.com/title/tt0583492/?ref_=ttep_ep9,"The group is locked out of Monica and Rachel's apartment, causing their Thanksgiving plans to go wrong. ",
Friends,10,1994–2004,1,14,The One with the Candy Hearts,9-Feb-1995,St. Valentine's Day,https://www.imdb.com/title/tt0583587/?ref_=ttep_ep14,"On Valentine's Day, Ross coincidentally dines in the same restaurant as Carol and Susan. Joey arranges a date for Chandler with Janice, while the girls burn keepsakes from past relationships.",
Friends,10,1994–2004,2,9,The One with Phoebe’s Dad,14-Dec-1995,Christmas,https://www.imdb.com/title/tt0583537/?ref_=ttep_ep9,Phoebe locates her father but is uncertain about whether to meet him or not. ,
Friends,10,1994–2004,2,15,The One Where Ross and Rachel… You Know,8-Feb-1996,St. Valentine's Day,https://www.imdb.com/title/tt0583488/?ref_=ttep_ep15,Monica develops a crush on her parents' friend while catering for him. Ross and Rachel have their first date. Joey and Chandler are reluctant to give up their new TV and armchairs. ,
Friends,10,1994–2004,3,9,The One with the Football,21-Nov-1996,Thanksgiving,https://www.imdb.com/title/tt0583607/?ref_=ttep_ep9,Monica and Ross's childhood rivalry causes a delay in Thanksgiving dinner as the group plays a game of touch football.,
Friends,10,1994–2004,3,10,The One Where Rachel Quits,12-Dec-1996,Christmas,https://www.imdb.com/title/tt0583474/?ref_=ttep_ep10,"Ross accidentally breaks a little girl's leg and helps her sell cookies, which triggers Monica's past obsession. Rachel resigns from her job at Central Perk. Joey's Christmas tree selling clashes with Phoebe's beliefs. ",
Friends,10,1994–2004,3,15,The One Where Ross and Rachel Take a Break,13-Feb-1997,St. Valentine's Day,https://www.imdb.com/title/tt0583487/?ref_=ttep_ep15,"After a fight with Rachel, Ross finds comfort in another woman's arms at a party. Phoebe's date requires an interpreter to communicate.",
Friends,10,1994–2004,4,8,The One with Chandler in a Box,20-Nov-1997,Thanksgiving,https://www.imdb.com/title/tt0583515/?ref_=ttep_ep8,Chandler lies in a wooden box for six hours to apologize to Joey. Monica gets ice in her eye and is treated by Richard's son. Rachel's gift-giving habit is exposed. ,
Friends,10,1994–2004,4,10,The One with the Girl from Poughkeepsie,18-Dec-1997,Christmas,https://www.imdb.com/title/tt0583611/?ref_=ttep_ep10,"Monica hires Joey to demonstrate her authority to the kitchen staff by firing him. Chandler's attempt to set Rachel up with a co-worker fails, and Ross can't decide between two girls.",
Friends,10,1994–2004,5,8,The One with All the Thanksgivings,19-Nov-1998,Thanksgiving,https://www.imdb.com/title/tt0583652/?ref_=ttep_ep8,The group recalls and shares their worst Thanksgiving experiences with each other. ,
Friends,10,1994–2004,5,10,The One with the Inappropriate Sister,17-Dec-1998,Christmas,https://www.imdb.com/title/tt0583617/?ref_=ttep_ep10,Ross causes chaos in Chandler and Joey's lives out of boredom. Rachel is uneasy about Danny's close bond with his sister. Phoebe faces difficulties while collecting donations for the needy during Christmas. ,
Friends,10,1994–2004,5,14,The One Where Everybody Finds Out,11-Feb-1999,St. Valentine's Day,https://www.imdb.com/title/tt0583452/?ref_=ttep_ep14,Phoebe and Rachel discover Monica and Chandler's secret relationship and try to make them confess.,
Friends,10,1994–2004,6,9,The One Where Ross Got High,25-Nov-1999,Thanksgiving,https://www.imdb.com/title/tt0583482/?ref_=ttep_ep9,Ross discloses why Jack and Judy dislike Chandler. Rachel attempts to make dessert for the group. Joey and Ross try to skip Thanksgiving with Janine and her dancer friends.,
Friends,10,1994–2004,6,10,The One with the Routine,16-Dec-1999,Christmas,https://www.imdb.com/title/tt0583641/?ref_=ttep_ep10,"Joey tries to kiss Janine on the set of ""Dick Clark's New Year's Rockin' Eve,"" and Monica and Ross perform their high school dance routine. Rachel, Phoebe, and Chandler search for Monica's Christmas gifts.",
Friends,10,1994–2004,6,17,The One With Unagi,24-Feb-2000,St. Valentine's Day,https://www.imdb.com/title/tt0583570/?ref_=ttep_ep17,Rachel and Phoebe enroll in self-defense classes. Chandler and Monica exchange homemade Valentine's Day gifts. Joey participates in medical research to earn money. ,
Friends,10,1994–2004,7,8,The One Where Chandler Doesn't Like Dogs,23-Nov-2000,Thanksgiving,https://www.imdb.com/title/tt0583431/?ref_=ttep_ep8,"Ross struggles to name all 50 states during a game, Joey ruins Rachel's chances with Tag during Thanksgiving dinner, and Phoebe sneaks a dog into the apartment, making Chandler nervous. ",
Friends,10,1994–2004,7,10,The One with the Holiday Armadillo,14-Dec-2000,Christmas,https://www.imdb.com/title/tt0583613/?ref_=ttep_ep10,"Ross wants to introduce Ben to Hanukkah, and Phoebe must drive a wedge between Rachel and Joey to entice her to move back into their refurbished apartment. ",
Friends,10,1994–2004,8,9,The One with the Rumor,22-Nov-2001,Thanksgiving,https://www.imdb.com/title/tt0583642/?ref_=ttep_ep9,"Monica invites an old school friend, Will, to Thanksgiving dinner, unaware that he has a grudge against Rachel. ",
Friends,10,1994–2004,8,11,The One with Ross's Step Forward,13-Dec-2001,Christmas,https://www.imdb.com/title/tt0583594/?ref_=ttep_ep11,"Ross's new girlfriend wants to send out Christmas cards featuring a photo of them together, but Ross isn't sure he's ready to take that step yet.",
Friends,10,1994–2004,8,15,The One With The Birthing Video,7-Feb-2002,St. Valentine's Day,https://www.imdb.com/title/tt0583578/?ref_=ttep_ep15,Phoebe gives Joey a happy dog to cheer him up. Monica accidentally gives Chandler a graphic birthing video instead of a romantic movie. Ross's girlfriend discovers Rachel is living with him.,
Friends,10,1994–2004,9,8,The One with Rachel's Other Sister,21-Nov-2002,Thanksgiving,https://www.imdb.com/title/tt0583553/?ref_=ttep_ep8,"Rachel's sister visits on Thanksgiving, causing arguments.",
Friends,10,1994–2004,9,10,The One with Christmas in Tulsa,12-Dec-2002,Christmas,https://www.imdb.com/title/tt0583518/?ref_=ttep_ep10,"Chandler is sent to Tulsa for Christmas by his company, leaving Monica worried about his fidelity with a former Miss Oklahoma runner-up. Chandler returns early and announces he quit his job.",
Friends,10,1994–2004,10,8,The One with the Late Thanksgiving,20-Nov-2003,Thanksgiving,https://www.imdb.com/title/tt0583623/?ref_=ttep_ep8,"Monica and Chandler agree to host Thanksgiving, but Joey, Ross, Rachel, and Phoebe arrive an hour late for dinner.",
Friends,10,1994–2004,10,12,The One with Phoebe's Wedding,12-Feb-2004,St. Valentine's Day,https://www.imdb.com/title/tt0583542/?ref_=ttep_ep12,Phoebe and Mike's wedding preparations go awry as last-minute issues arise.,
"Beverly Hills, 90210",10,1990–2000,2,13,Halloween,31-Oct-1991,Halloween,https://www.imdb.com/title/tt0522817/?ref_=ttep_ep13,"At a Halloween party, the gang sports various costumes, but Kelly's revealing outfit stands out. David meets with Scott and Brandon loses his twin niece and nephew while trick-or-treating.",
"Beverly Hills, 90210",10,1990–2000,2,18,A Walsh Family Christmas,19-Dec-1991,Christmas,https://www.imdb.com/title/tt0522728/?ref_=ttep_ep18,"Steve discovers the truth about his biological parents, while Dylan visits his imprisoned father. Brenda's homeless guest brings joy to the house, and Brandon and Emily establish a new friendship.",
"Beverly Hills, 90210",10,1990–2000,2,22,Baby Makes Five,13-Feb-1992,St. Valentine's Day,https://www.imdb.com/title/tt0522746/?ref_=ttep_ep22,"On St. Valentine's Day, Dylan plans a memorable evening for Brenda while Kelly and David work to repair their parents' relationship.",
"Beverly Hills, 90210",10,1990–2000,3,15,The Kindness of Strangers,25-Nov-1992,Thanksgiving,https://www.imdb.com/title/tt0522955/?ref_=ttep_ep15,"On a rainy Thanksgiving, Brandon invites homeless man Jack Canner over, while Steve breaks the news of his expulsion to his mother during a TV shoot in Santa Barbara.",
"Beverly Hills, 90210",10,1990–2000,3,16,It's a Totally Happening Life,16-Dec-1992,Christmas,https://www.imdb.com/title/tt0522845/?ref_=ttep_ep16,"Mysterious angels intervene and prevent a bus and a truck from crashing. Meanwhile, Dylan is asked to play Santa Claus for a group of underprivileged children.",
"Beverly Hills, 90210",10,1990–2000,4,12,Radar Love,24-Nov-1993,Thanksgiving,https://www.imdb.com/title/tt0522892/?ref_=ttep_ep12,"Brandon reunites with Emily in San Francisco for Thanksgiving. Dylan agrees to dine with the Walshes, but Kelly causes a scene. Andrea is hesitant to attend Dan's parents' party but gives Jesse her address.",
"Beverly Hills, 90210",10,1990–2000,4,15,Somewhere in the World It's Christmas,22-Dec-1993,Christmas,https://www.imdb.com/title/tt0522919/?ref_=ttep_ep15,The Walsh family's Hawaiian trip gets disrupted due to a plane malfunction. Dylan receives a surprise visit from a woman who claims to be Jack McKay's mistress with her daughter. David is hostile towards Donna due to his sexual frustration.,
"Beverly Hills, 90210",10,1990–2000,5,8,Things That Go Bang in the Night,26-Oct-1994,Halloween,https://www.imdb.com/title/tt0522977/?ref_=ttep_ep8,"Donna is spooked when her two love interests, Ray and Griffin, meet at a Halloween party. Valerie considers leaving town but stays after learning of her mother's breakdown.",
"Beverly Hills, 90210",10,1990–2000,5,15,Christmas Comes This Time Each Year,21-Dec-1994,Christmas,https://www.imdb.com/title/tt0522763/?ref_=ttep_ep15,Felice tests Ray's love for Donna by offering him money to stop seeing her; LuAnn goes Christmas shopping with Donna. Jesse and Andrea's differing family traditions cause tension. David meets Clare's father at a Christmas party and bonds over music.,
"Beverly Hills, 90210",10,1990–2000,5,20,You Gotta Have Heart,8-Feb-1995,St. Valentine's Day,https://www.imdb.com/title/tt0523004/?ref_=ttep_ep20,"Steve tries to book ""Jade"" for a Valentine's Day telethon at the Peach Pit After Dark. Brandon temporarily distracts Kelly from her work with Professor Finley. Valerie moves out and pressures Ray into an affair, while his mother covers for him. Andrea's relationship with Jesse is unaffected by meeting Peter and his wife.",
"Beverly Hills, 90210",10,1990–2000,6,12,Breast Side Up,22-Nov-1995,Thanksgiving,https://www.imdb.com/title/tt0522755/?ref_=ttep_ep12,"Donna invites NFL quarterback Steve Young over for Thanksgiving, but learns that she and Joe disapprove of premarital sex. Brandon and Kelly's old feelings return as they miss Susan and Colin. Steve becomes a hit at Clare's father's party. Valerie doesn't want cooking help from David's mother.",
"Beverly Hills, 90210",10,1990–2000,6,15,Angels We Have Heard on High,20-Dec-1995,Christmas,https://www.imdb.com/title/tt0522741/?ref_=ttep_ep15,"Cindy returns to Beverly Hills for Christmas without Jim, while Colin's drug use puts a strain on his relationship with Kelly. Joe gives Donna a talking parrot for her birthday. Steve loses his job due to someone else's mistake, causing tension with his father Rush.",
"Beverly Hills, 90210",10,1990–2000,6,16,Turn Back the Clock,3-Jan-1996,New Year,https://www.imdb.com/title/tt0522984/?ref_=ttep_ep16,"The gang shares New Year's mishap stories, including Steve babysitting his rowdy stepbrothers at the After Dark. Kelly and Colin's relationship is strained by his drug use, and Jonathan Casten's arrival causes problems between Susan and Brandon.",
"Beverly Hills, 90210",10,1990–2000,6,21,Bleeding Hearts,14-Feb-1996,St. Valentine's Day,https://www.imdb.com/title/tt0522751/?ref_=ttep_ep21,"Clare bets Steve he won't stay celibate at a Valentine's Day party. Valerie's plan to keep David away from Ginger fails, causing David to leave her. Kelly hits rock bottom after getting beaten up while buying cocaine. Joe is kicked off the football team due to his heart disorder.",
"Beverly Hills, 90210",10,1990–2000,7,7,Fearless,30-Oct-1996,Halloween,https://www.imdb.com/title/tt0522801/?ref_=ttep_ep7,"Steve tries to make Clare jealous by dating someone else, while Donna's new boyfriend, Cliff, helps her with a Halloween party. Valerie resorts to her devious ways to avoid Kenny, and Kelly and Brandon have their own romantic pursuits.",
"Beverly Hills, 90210",10,1990–2000,7,13,Gift Wrapped,18-Dec-1996,Christmas,https://www.imdb.com/title/tt0522811/?ref_=ttep_ep13,"Valerie and Kelly exchange Christmas gifts, with Kelly discovering a surprise half-sister, Joy. Steve and Clare play matchmaker for their parents. David tries to impress Donna's conservative mother. Brandon and Tracy exchange gifts.",
"Beverly Hills, 90210",10,1990–2000,7,19,My Funny Valentine,12-Feb-1997,St. Valentine's Day,https://www.imdb.com/title/tt0522872/?ref_=ttep_ep19,"Donna's ex-boyfriend causes trouble, while Valerie's mother visits and asks for money. Steve smokes pot with a guy he dislikes. David and Chloe perform at a Valentine's Day party. Kelly continues dating Tom, and Valerie tries to stop it. ",
"Beverly Hills, 90210",10,1990–2000,8,14,Santa Knows,17-Dec-1997,Christmas,https://www.imdb.com/title/tt0522903/?ref_=ttep_ep14,,
"Beverly Hills, 90210",10,1990–2000,8,20,Cupid's Arrow,11-Feb-1998,St. Valentine's Day,https://www.imdb.com/title/tt0522776/?ref_=ttep_ep20,,
"Beverly Hills, 90210",10,1990–2000,9,7,"You Say Goodbye, I Say Hello",18-Nov-1998,Thanksgiving,https://www.imdb.com/title/tt0523005/?ref_=ttep_ep7,,
"Beverly Hills, 90210",10,1990–2000,9,15,Beheading St. Valentine,10-Feb-1999,St. Valentine's Day,https://www.imdb.com/title/tt0522750/?ref_=ttep_ep15,,
"Beverly Hills, 90210",10,1990–2000,10,10,What's in a Name,17-Nov-1999,Thanksgiving,https://www.imdb.com/title/tt0522996/?ref_=ttep_ep10,,
"Beverly Hills, 90210",10,1990–2000,10,12,Nine Yolks Whipped Lightly,22-Dec-1999,Christmas,https://www.imdb.com/title/tt0522875/?ref_=ttep_ep12,,
"Beverly Hills, 90210",10,1990–2000,10,16,The Final Proof,9-Feb-2000,St. Valentine's Day,https://www.imdb.com/title/tt0522946/?ref_=ttep_ep16,,
Grey’s Anatomy,19,2005– ,2,9,Thanks for the Memories,20-Nov-2005,Thanksgiving,https://www.imdb.com/title/tt0592922/?ref_=ttep_ep9,,
Grey’s Anatomy,19,2005– ,2,12,Grandma Got Run Over By a Reindeer,11-Dec-2005,Christmas,https://www.imdb.com/title/tt0592908/?ref_=ttep_ep12,,
Grey’s Anatomy,19,2005– ,4,5,Haunt You Every Day,25-Oct-2007,Halloween,https://www.imdb.com/title/tt1002885/?ref_=ttep_ep5,,
Grey’s Anatomy,19,2005– ,6,10,Holidaze,19-Nov-2009,Christmas,https://www.imdb.com/title/tt1497727/?ref_=ttep_ep10,,
Grey’s Anatomy,19,2005– ,6,14,Valentine's Day Massacre,11-Feb-2010,St. Valentine's Day,https://www.imdb.com/title/tt1595404/?ref_=ttep_ep14,,
Grey’s Anatomy,19,2005– ,7,10,Adrift and at Peace,2-Dec-2010,Christmas,https://www.imdb.com/title/tt1782086/?ref_=ttep_ep10,,
Grey’s Anatomy,19,2005– ,8,14,All You Need Is Love,9-Feb-2012,St. Valentine's Day,https://www.imdb.com/title/tt2187687/?ref_=ttep_ep14,,
Grey’s Anatomy,19,2005– ,10,7,Thriller,31-Oct-2013,Halloween,https://www.imdb.com/title/tt3240812/?ref_=ttep_ep7,,
Grey’s Anatomy,19,2005– ,15,12,Girlfriend in a Coma,7-Feb-2019,St. Valentine's Day,https://www.imdb.com/title/tt9212382/?ref_=ttep_ep12,,
Grey’s Anatomy,19,2005– ,16,6,Whistlin' Past the Graveyard,31-Oct-2019,Halloween,https://www.imdb.com/title/tt11102922/?ref_=ttep_ep6,,
Grey’s Anatomy,19,2005– ,18,6,Every Day Is a Holiday (With You),18-Nov-2021,Thanksgiving,https://www.imdb.com/title/tt15856270/?ref_=ttep_ep6,,
Grey’s Anatomy,19,2005– ,18,8,It Came Upon a Midnight Clear,16-Dec-2021,Christmas,https://www.imdb.com/title/tt16274400/?ref_=ttep_ep8,,
Grey’s Anatomy,19,2005– ,19,4,Haunted,27-Oct-2022,Halloween,https://www.imdb.com/title/tt22529692/?ref_=ttep_ep4,,
How I met your mother,9,2005–2014,1,6,The Slutty Pumpkin,24-Oct-2005,Halloween,https://www.imdb.com/title/tt0606116/?ref_=ttep_ep6,,
How I met your mother,9,2005–2014,1,9,Belly Full of Turkey,21-Nov-2005,Thanksgiving,https://www.imdb.com/title/tt0606104/?ref_=ttep_ep9,,
How I met your mother,9,2005–2014,1,11,The Limo,19-Dec-2005,Christmas,https://www.imdb.com/title/tt0606114/?ref_=ttep_ep11,,
How I met your mother,9,2005–2014,2,11,How Lily Stole Christmas,11-Dec-2006,Christmas,https://www.imdb.com/title/tt0904645/?ref_=ttep_ep11,,
How I met your mother,9,2005–2014,3,9,Slapsgiving,19-Nov-2007,Thanksgiving,https://www.imdb.com/title/tt1142665/?ref_=ttep_ep9,,
How I met your mother,9,2005–2014,4,11,Little Minnesota,15-Dec-2008,Christmas,https://www.imdb.com/title/tt1256172/?ref_=ttep_ep11,,
How I met your mother,9,2005–2014,5,9,Slapsgiving 2: Revenge of the Slap,23-Nov-2009,Thanksgiving,https://www.imdb.com/title/tt1541288/?ref_=ttep_ep9,,
How I met your mother,9,2005–2014,6,10,Blitzgiving,22-Nov-2010,Thanksgiving,https://www.imdb.com/title/tt1777828/?ref_=ttep_ep10,,
How I met your mother,9,2005–2014,6,12,False Positive,13-Dec-2010,Christmas,https://www.imdb.com/title/tt1778997/?ref_=ttep_ep12,,
How I met your mother,9,2005–2014,6,16,Desperation Day,14-Feb-2011,St. Valentine's Day,https://www.imdb.com/title/tt1795958/?ref_=ttep_ep16,,
How I met your mother,9,2005–2014,7,8,The Slutty Pumpkin Returns,31-Oct-2011,Halloween,https://www.imdb.com/title/tt2072526/?ref_=ttep_ep8,,
How I met your mother,9,2005–2014,7,11,The Rebound Girl,21-Nov-2011,Thanksgiving,https://www.imdb.com/title/tt2108075/?ref_=ttep_ep11,,
How I met your mother,9,2005–2014,7,12,Symphony of Illumination,5-Dec-2011,Christmas,https://www.imdb.com/title/tt2121966/?ref_=ttep_ep12,,
How I met your mother,9,2005–2014,8,11,The Final Page: Part One,17-Dec-2012,Christmas,https://www.imdb.com/title/tt2556002/?ref_=ttep_ep11,,
How I met your mother,9,2005–2014,8,12,The Final Page: Part Two,17-Dec-2012,Christmas,https://www.imdb.com/title/tt2556008/?ref_=ttep_ep12,,
Seinfeld,9,1989–1998,3,12,The Red Dot,11-Dec-1991,Christmas,https://www.imdb.com/title/tt0697765/?ref_=ttep_ep12,,
Seinfeld,9,1989–1998,4,12,The Pick,16-Dec-1992,Christmas,https://www.imdb.com/title/tt0697752/?ref_=ttep_ep13,,
Seinfeld,9,1989–1998,6,8,The Mom and Pop Store,17-Nov-1994,Thanksgiving,https://www.imdb.com/title/tt0697733/?ref_=ttep_ep8,,
Seinfeld,9,1989–1998,7,10,The Gum,14-Dec-1995,Christmas,https://www.imdb.com/title/tt0697705/?ref_=ttep_ep10,,
Seinfeld,9,1989–1998,8,10,The Andrea Doria,19-Dec-1996,Christmas,https://www.imdb.com/title/tt0697649/?ref_=ttep_ep10,,
Seinfeld,9,1989–1998,9,10,The Strike,18-Dec-1997,Christmas,https://www.imdb.com/title/tt0697790/?ref_=ttep_ep10,,
Two and a Half Men,12,2003–2015,1,10,Merry Thanksgiving,24-Nov-2003,Thanksgiving,https://www.imdb.com/title/tt0735168/?ref_=ttep_ep11,,
Two and a Half Men,12,2003–2015,3,6,"Hi, Mr. Horned One",24-Oct-2005,Halloween,https://www.imdb.com/title/tt0735157/?ref_=ttep_ep6,,
Two and a Half Men,12,2003–2015,3,11,Santa's Village of the Damned,19-Dec-2005,Christmas,https://www.imdb.com/title/tt0735175/?ref_=ttep_ep11,,
Two and a Half Men,12,2003–2015,4,11,Walnuts and Demerol,11-Dec-2006,Christmas,https://www.imdb.com/title/tt0908937/?ref_=ttep_ep11,,
Two and a Half Men,12,2003–2015,6,15,I'd Like to Start with the Cat,9-Feb-2009,St. Valentine's Day,https://www.imdb.com/title/tt1256406/?ref_=ttep_ep15,,
Two and a Half Men,12,2003–2015,7,11,"Warning, It's Dirty",14-Dec-2009,Christmas,https://www.imdb.com/title/tt1558558/?ref_=ttep_ep11,,
Two and a Half Men,12,2003–2015,9,12,"One False Move, Zimbabwe!",12-Dec-2011,Christmas,https://www.imdb.com/title/tt2133074/?ref_=ttep_ep12,,
Two and a Half Men,12,2003–2015,9,16,"Sips, Sonnets and Sodomy",13-Feb-2012,St. Valentine's Day,https://www.imdb.com/title/tt2214415/?ref_=ttep_ep16,,
Two and a Half Men,12,2003–2015,10,11,Give Santa a Tail-Hole,13-Dec-2012,Christmas,https://www.imdb.com/title/tt2545360/?ref_=ttep_ep11,,
Two and a Half Men,12,2003–2015,10,16,"Advantage: Fat, Flying Baby",14-Feb-2013,St. Valentine's Day,https://www.imdb.com/title/tt2710722/?ref_=ttep_ep16,,
Two and a Half Men,12,2003–2015,11,10,"On Vodka, on Soda, on Blender, on Mixer!",12-Dec-2013,Christmas,https://www.imdb.com/title/tt3345456/?ref_=ttep_ep10,,
Two and a Half Men,12,2003–2015,12,1,The Ol' Mexican Spinach,30-Oct-2014,Halloween,https://www.imdb.com/title/tt3596118/?ref_=ttep_ep1,,
Two and a Half Men,12,2003–2015,12,8,"Family, Buble, Deep-Fried Turkey",18-Dec-2014,Christmas,https://www.imdb.com/title/tt4281928/?ref_=ttep_ep8,,
It's Always Sunny in Philadelphia,18,2005– ,6,7,Who Got Dee Pregnant?,28-Oct-2010,Halloween,https://www.imdb.com/title/tt1636180/?ref_=ttep_ep7,,
It's Always Sunny in Philadelphia,18,2005– ,6,13,A Very Sunny Christmas,9-Dec-2010,Christmas,https://www.imdb.com/title/tt1478620/?ref_=ttep_ep13,,
